dia,mes,ano,hora,velocidade,direcao,temperatura,umidade,pressao
16,12,2015,11,3.310556,114.8666,25.12121,81.28736,1012.254
16,12,2015,12,5.97,112.7073,24.80172,86.90556,997.1312
16,12,2015,13,7.448333,107.3729,25,84.92222,995.9512
16,12,2015,14,9.40241,104.2319,25.47015,80.41139,1005.961
16,12,2015,15,10.49722,94.43017,25.30159,82.23889,1015.305
16,12,2015,16,10.51222,82.78336,25.25,83.64444,1017.072
16,12,2015,17,11.25556,77.54058,25.3375,88.35556,1002.412
16,12,2015,18,9.972222,71.31379,25.25,90.98876,997.7033
16,12,2015,19,8.367778,57.64314,25.25,88.91111,1003.586
16,12,2015,20,8.820556,52.42489,25.13761,89.73077,1012.109
16,12,2015,21,8.226111,56.53146,25.34783,88.73529,1016.541
16,12,2015,22,8.684444,49.86223,24.76147,89.67857,1014.007
16,12,2015,23,7.196667,48.99282,24.36667,91.52,1003.67
17,12,2015,0,6.408333,45.17493,24.125,93.51042,991.7828
17,12,2015,1,7.411667,37.44053,24.48148,94.46316,990.5397
17,12,2015,2,8.788889,38.03823,24.39535,94.11765,982.0342
17,12,2015,3,7.64,38.29529,24.52174,93.21765,983.3338
17,12,2015,4,6.287222,32.06968,24.39286,95.46753,983.3262
17,12,2015,5,6.111667,35.89228,24.26667,96.75,987.7607
17,12,2015,6,4.491667,22.76627,24.44444,95.01282,1015.283
17,12,2015,7,6.67,22.22323,24.66667,88.76111,1016.778
17,12,2015,8,5.362222,17.55168,25.95935,78.5,1010.556
17,12,2015,9,4.902222,60.90335,26.94444,73.375,1015.863
17,12,2015,10,7.825,99.95978,26.25641,83.93889,964.415
17,12,2015,11,10.04444,97.78737,25.90625,82.91111,973.4165
17,12,2015,12,12.53167,96.10236,25.55952,83.56934,1005.61
17,12,2015,13,12.98389,95.64598,25.13793,85.88889,1004.727
17,12,2015,14,12.07944,95.73047,25.19444,84.45783,996.1573
17,12,2015,15,13.07556,84.80025,25.24342,84.98333,989.314
17,12,2015,16,12.42611,81.4802,25.3253,86.07101,977.6063
17,12,2015,17,11.57056,77.4107,25.40741,85.06667,985.8402
17,12,2015,18,11.55889,71.82441,25.1831,85.0977,990.2062
